Assessment,Title,author,year,location,PMID,design,setting ,icu_type ,Patients' population,age_cat,Age: mean ± SD or median(IQR),mean_median_age,age_cat_2,"Range of age (mimimum, maximum)",Gender (male n= (%) etc),N,male,Duration of MV (day),MV_duration,"Steroid, dose",timing,steroid,Cumulative dose equivalent dose (mg) and the medication name ,cum_dose_equi_hydro,Time for the first dosing to extubation (hour),mean_time_first_dosing,observation_period,"Adverse effects (all of the assessed events (hyperglycemia, GI bleeding, infection etc) and the event number) ",n_control_gibleed,event_control_gibleed,n_steroid_gibleed,event_steroid_gibleed,n_control_hyperglycemia,event_control_hyperglycemia,n_steroid_hyperglycemia,event_steroid_hyperglycemia,n_control_infection,event_control_infection,n_steroid_infection,event_steroid_infection,n_control_hypertension,event_control_hypertension,n_steroid_hypertension,event_steroid_hypertension,n_control,event_control,n_steroid,event_steroid,n_control_stridor,event_control_stridor,n_steroid_stridor,event_steroid_stridor,n_control_reintubation,event_control_reintubation,n_steroid_reintubation,event_steroid_reintubation,Comments,,Primary outcome,Secondary oucome,,,,,,,
Satoshi,Randomized comparative efficacy of dexamethasone to prevent postextubation upper airway complications in children and adults in ICU,Malhotra D,2009,India,20640206,RCT,Single,Medical,Children,2,"7.87±3.85 for study group, 7.70±3.93 for contorol group",7.785,1,NA,38 (63.3%),60,38,NA,NA,0.5mg/kg dexamethasone (max 8mg),"every 4 hours * 4 for adults, 0.5mg/kg for children (4 hours prior to planned extubation, 6 and 12 hours after extubation)",dexamethasone,dexamethazon 0.5mg/kg(max8mg)*3 ,37.5,4,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"19 (failed extubation), 11 (airway assessment status including stridor)",30,"9 (failed extubation), 8 (airway assessment status including stridor)",30,11,30,8,30,19,30,9,,,,,,,,,,,
Satoshi,"L-epinephrine and dexamethasone in postextubation airway obstruction: a prospective, randomized, double-blind placebo-controlled study",Cesar RG,2009,Brazil,19762088,RCT,Single,PICU,1d- 12y/o (N=64),3,NA,NA,2,1d - 12y,NA,32,NA,NA,NA,0.2mg/kg dexamethasone (max 2.6mg)  every 6 h during 24 hours of follow up,,dexamethasone,Dexamethason 0.2mg/kg*4,20,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"12 (post extubation laryngitis), 1 (re-intubation)",16,"10 (postextubation laryngitis), 1 (re-intubation)",16,12,16,12,16,1,16,1,,,,,,,,,,,
Mai,"Effectiveness of dexamethasone in
preventing extubation failure in preterm
infants at increased risk for airway
edema",Couser RJ,1992,USA,1403397,RCT,Single,NA,preterm infants,0,"18.9 +- 9.7 for study group, 23.5 +-12 for control group",0.05757808,0,NA,NA,50,NA,"19.2 +- 11 days in study group, 21.3 +- 12 days in control group",20.166,0.25mg/kg dexamethasone,"every 8 hours, a total of 3 doses",dexamethasone,dexamethasone 0.25 mg/kg*3,18.75,4,4,24,"Glucosuria (Of the 27 dexamethasone-treated patients, 7 had glucosuria, None of the 23 control patients had glucosuria (p <0.05) )",NA,NA,NA,NA,23,0,27,7,NA,NA,NA,NA,NA,NA,NA,NA,23,10 (stridor),27,2 (stridor),23,10,27,2,23,4,27,0,,,"postextu-bation stridor and respiratory distress
(blood gas values, dynamic compliance, resistance, tidal vol-ume, minute ventilation, transpulmonary or peak-to-peak pressure changes, peak inspiratory and peak expiratory flow)",,,,,,,,
Mai,Routine use of dexamethasone for the prevention of postextubation respiratory distress,Ferrara TB,1989,USA,2809781,RCT,Single,NICU,infants,0,"6.3 ± 5.5 days for study group, 7.1 ± 5.2 for control group",0.01835616,0,NA,NA,60,NA,"6.1 ± 5.5 days in study group, 6.0 ± 4.1 days in control group",6.05,0.25mg/kg dexamethasone,30 minutes before extubation,dexamethasone,dexamethasone 0.25mg/kg dexamethasone*1,6.25,0.5,0.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4 (stridor),30,4 (stridor),30,4,30,4,30,0,30,0,,,"the Downes' score, 10 the presence of audible stridor, and
arterial or capillary pH and Pco,.",,,,,,,,
Mai,Extubation failure due to post-extubation stridor is better correlated with neurologic impairment than with upper airway lesions in critically ill pediatric patients,Harel Y,1997,USA,9104623,RCT,Two,PICU,0-111 months,3,34.6 +- S.D. 32 months,1.153333,1,0-111 months,12 (53%),23,12,2-98days,NA,0.5mg/kg dexamethasone,"6 h prior to the planned time of next extubation,
followed by additional doses at extubation and 6 and 12 h after the extubation",dexamethasone,dexamethasone0.5mg/kg*3,37.5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5 (extubation failure),12,3 (extubation failure),NA,NA,NA,NA,11,5,12,3,,,"Stridor score
assigned at 1, 2, 4, 8 and 16 h post-extubation and immediately before a decision to re-intubate the patient",,,,,,,,
Satoshi,Dexamethasone in the prevention of postextubation stridor in children,Tellez DW,1991,USA,1993963,RCT,Two,PICU,Pediatric ICU (no detailed inclusion criteria about age),3,"2.1±0.4 for study group, 2.9±0.5 for contorol group",2.502614,1,NA,NA,153,NA,NA,NA,"Dexamethasone, 0.5 mg/kg",every 6 hours for a total of six doses beginning 6 to 12 hours before and continuing after endot- racheal extubation ,dexamethasone,Dexamethason 0.5mg/kg(max 10mg)*6,75,Between 6 and 12 hours before anticipated extubation,9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"23 (stridor requring theapy), 4 (re-intubation)",76,"16 (stridor requiring theapy), 9 (re-intubation)",77,23,76,16,77,4,76,9,,,,,,,,,,,
Satoshi,"Dexamethasone for the prevention of postextubation airway obstruction: A prospective, randomized, double-blind, placebo-controlled trial|",Anene O,1996,USA,8874303,RCT,Single,ICU,"<5 yrs of age, intubated and mechanically ventilated for >48 hrs",1,"median 3m (1-57) in study group, median 4m (1-59) in control group",3.5,1,NA,37 (56.1%),66,37,"Median 3.3 days in study group, median 3.5 days in control group",3.4,"0.5 mg/kg, maximum dose 10 mg","every 6 hrs for six doses, beginning 6 to 12 hrs before elective extubation",dexamethasone,Dexamethason 0.5mg/kg(max 10mg)*6,75,Between 6 and 12 hours before extubation,9,24,"GI bleeding (0 in control, 1 in study group), hyperglycemia (none), hypertension (one in control, one in study group)",32,0,31,1,32,0,31,0,NA,NA,NA,NA,32,1,31,1,"33(one dropped out, so 32 in analysis))","16 (additional airway manipulation), 7 (re-intubation), stridor (10min, 6h,12h,24h)...","33 (two dropped out, so 31 in analysis)","9 (additional airway manipulation), 0 (reintubation), stridor...",32,28,31,14,32,7,31,0,Three people dropped out. Additional airway manipulations over all pepoe. Re-intubation over remaining people. There is other information about stridor but at various time point.,,,,,,,,,,
Jiyoon,"Low-dose dexamethasone facilitates extubation among chronically ventilator-dependent infants: a multicenter, international, randomized, controlled trial",Doyle LW,2006,"Australia, New Zealand and Canada",16396863,RCT,More_than_ three,NA,very preterm (gestational age: 􏰂28 weeks) or ELBW (birth weight: 􏰂1000 g) infants,0,"Total: 23 days(IQR: NA), Dexa: 23 (IQR: 20-34), Control: 22 (IQR: 13-28)",0.0630137,0,NA,Male 37 (52.9%),70,37,"Duration of IPPV: Dexa 19(10-24), Control 14(6-24), Duration of HFV: Dexa 1(0-11), Control 2(0-11)",16.5,total 0.89mg/kg over 10 days,"To be specific, 0.15 mg/kg per day for 3 days, 0.10 mg/kg per day for 3 days, 0.05 mg/kg per day for 2 days, and 0.02 mg/kg per day for 2 days",methylprednisolone,methylprednisolone 0.89mg/kg,4.45,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"day3: 33 day7:30, day10:30)",35,"(day3: 23, day 7:17, day 10:14)",35,33,35,23,NA,NA,NA,NA,"***here, we focused on fail to extubate by 3 days",,"failure to extubate (by day 3, 7, 10)",,,,,,,,
Jiyoon,"Double-blind, placebo-controlled pilot randomized trial of methylprednisolone infusion in pediatric acute respiratory distress syndrome",Drago BB,2015,USA,25634565,RCT,Single,PICU,"1 month to 18 years, mechanically ventilated for less than 72 hours",3,steroid: 98.6(82.8) placebo: 46.4(49.5)m,2.39181,1,1m - 18y,18 (51.4%),35,18,"steroid: 9.74(6.62), placebo: 9.59(5.21)",9.662857,"methylprednisolone loading dose of 2mg/kg infused over 15 minutes, followed by continuous infusions 1 mg/kg/d on days 1–7, 0.5 mg/kg/d on days 8–10, 0.25 mg/kg/d on days 11 and 12, and 0.125 mg/ kg/d on days 13 and 14",14 days or time being discharged,methylprednisolone,"methylprednisolone 11.25mg/kg(max, depends on time being discharged)",56.25,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,7 (racemic epinephrine on extubation) 16(supplemental oxygen),17,"2(epinephrine), 13(supplemental oxy)",18,7,17,2,18,16,17,13,***yellow cells indicates need of oxygen,,"duration of mechanical ventilation, required trt for postextubation stridor or supplemental oxygen",,,,,,,,
Mai,Extubation failure in pediatric intensive care: a multiple-center study of risk factors and outcomes,Stephen C,2003,,14605539,Prospective_observational,,,the newborn period to 18 yrs old,3,,,,,,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189,110,605,64,,,,,,,,,,,the failed extubation population,"The five factors
included age (24 months and 24months), intubation time ( 48hrs and 48 hrs), the presence of an underlying respiratory condition, the presence of an underlying neurologic condition, and the requirement for ETT replacement on ad-
mission to the PICU.",,,,,,,
Mai,Do clinical parameters predict first planned extubation outcome in the pediatric intensive care unit?,Laham JL,2012,,23813884,Prospective_observational,,,0-240 months,3,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,17,78,12,,,,,,,,,,,extubation failure,"Factors associated with extubation failure
the length of MV (P < .0001, odds ratio [OR]2.20)
age (P 1⁄4 .02, OR 0.54)
preextubation steroids (P 1⁄4 .04, OR 2.40)
postextubation stridor (P < .01, OR 3.40).",,,,,,,
Jiyoon,Does prophylactic use of dexamethasone have a role in reducing post extubation stridor and reintubation in children?,Saleem AF,2009,Parkistan,19390815,Retrospective_cohort,Single,PICU,between 4 weeks and < 5 years,3,"case: 19(19), control: 16.8(14)m",0.6031373,0,4w - 5y,NA,51,NA,"case: 5(4.58), control: 4(3.6)",4.588235,dexamethasone dose of 0.5mg/kg every 6 hours for 3 doses,beginning 6-12 hours prior to extubation,dexamethasone,dex 1.5mg/kg,37.5,6-12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"2(stridor), 2(reintubation)",30,"5(stridor), 2(reintubation)",21,2,30,5,21,2,30,2,selected controls who did not receive trt or any other steroid prior to extubation,,post extubation stridor and reintubation,,,,,,,,
Sohee,Dexamethasone reduces reintubation rate due to postextubation stridor in a high-risk paediatric population,Lukkassen IM,2006,Netherlands,16373300,Retrospective_cohort,,NA,4 wk and 6 y,3,"case: 16(21), control: 17(22)m",0.5538889,0,NA,"case: 6(26.1%), control: 18(48.6%)",60,24,"case: 12.5(9.5), control: 11(10.2)",11.575,0.6 - 2 mg/kg/d dexametasone,at least 4 hr prior to extubation and continued for 24 h.,dexamethasone,NA,,at least 4hr,4,NA,"No GI bleeding, no hypertension, no hyperglycemia",37,0,23,0,37,0,23,0,NA,NA,NA,NA,37,0,23,0,37,9 (stridor),23,0,37,15,23,0,37,6,23,0,,,post extubation stridor and reintubation,,,,,,,,
Satoshi,Effects of dexamethasone on pulmonary function following extubation,Courtney SE,1992,USA,1432282,RCT,Single,NA,infants>=1000g,0,NA,NA,0,Infant,27 (64.3%),42,27,"11d in control, 8.7d in study group",9.190476,,,dexamethasone,Dexamethasone 0.5mg/kg*3,37.5,17,17,24,"Infection (one in control, one in study group)",NA,NA,NA,NA,NA,NA,NA,NA,23,1,19,1,NA,NA,NA,NA,23,,19,,NA,NA,NA,NA,23,4,19,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
